year,gene,method,subtype,region,continent,mismatch
2014,pH1N1 NA protein,answer strain,H1N1,CA,North America,3.166666667
2015,pH1N1 NA protein,answer strain,H1N1,CA,North America,2.5
2016,pH1N1 NA protein,answer strain,H1N1,CA,North America,0.708860759
2017,pH1N1 NA protein,answer strain,H1N1,CA,North America,2.416666667
2018,pH1N1 NA protein,answer strain,H1N1,CA,North America,1.52
2019,pH1N1 NA protein,answer strain,H1N1,CA,North America,4.93006993
2013,pH1N1 NA protein,answer strain,H1N1,CAN,North America,2.666666667
2014,pH1N1 NA protein,answer strain,H1N1,CAN,North America,2
2015,pH1N1 NA protein,answer strain,H1N1,CAN,North America,8.5
2016,pH1N1 NA protein,answer strain,H1N1,CAN,North America,1.24137931
2017,pH1N1 NA protein,answer strain,H1N1,CAN,North America,4
2018,pH1N1 NA protein,answer strain,H1N1,CAN,North America,1.818181818
2019,pH1N1 NA protein,answer strain,H1N1,CAN,North America,4.5625
2013,pH1N1 NA protein,answer strain,H1N1,UK,Europe,1.714285714
2014,pH1N1 NA protein,answer strain,H1N1,UK,Europe,3.872340426
2015,pH1N1 NA protein,answer strain,H1N1,UK,Europe,3.545454545
2016,pH1N1 NA protein,answer strain,H1N1,UK,Europe,1.306179775
2017,pH1N1 NA protein,answer strain,H1N1,UK,Europe,3.518518519
2018,pH1N1 NA protein,answer strain,H1N1,UK,Europe,2.537037037
2019,pH1N1 NA protein,answer strain,H1N1,UK,Europe,3.784351145
2013,pH1N1 NA protein,answer strain,H1N1,GER,Europe,4.8
2014,pH1N1 NA protein,answer strain,H1N1,GER,Europe,2.714285714
2015,pH1N1 NA protein,answer strain,H1N1,GER,Europe,2.6875
2016,pH1N1 NA protein,answer strain,H1N1,GER,Europe,0.66
2017,pH1N1 NA protein,answer strain,H1N1,GER,Europe,1.222222222
2018,pH1N1 NA protein,answer strain,H1N1,GER,Europe,2.8
2019,pH1N1 NA protein,answer strain,H1N1,GER,Europe,4
2013,pH1N1 NA protein,answer strain,H1N1,FR,Europe,1.705882353
2014,pH1N1 NA protein,answer strain,H1N1,FR,Europe,3.131147541
2015,pH1N1 NA protein,answer strain,H1N1,FR,Europe,1.970588235
2016,pH1N1 NA protein,answer strain,H1N1,FR,Europe,1.173913043
2017,pH1N1 NA protein,answer strain,H1N1,FR,Europe,3.052631579
2018,pH1N1 NA protein,answer strain,H1N1,FR,Europe,2.353174603
2019,pH1N1 NA protein,answer strain,H1N1,FR,Europe,3.844086022
2013,pH1N1 NA protein,answer strain,H1N1,HK,Asia,2.583333333
2014,pH1N1 NA protein,answer strain,H1N1,HK,Asia,3.769230769
2015,pH1N1 NA protein,answer strain,H1N1,HK,Asia,3.727272727
2016,pH1N1 NA protein,answer strain,H1N1,HK,Asia,2.227272727
2017,pH1N1 NA protein,answer strain,H1N1,HK,Asia,2.731707317
2018,pH1N1 NA protein,answer strain,H1N1,HK,Asia,2.315068493
2019,pH1N1 NA protein,answer strain,H1N1,HK,Asia,3.727272727
2013,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,1.842105263
2014,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,2.288461538
2015,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,3.615384615
2016,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,4.643678161
2017,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,2.97979798
2018,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,2.101941748
2019,pH1N1 NA protein,answer strain,H1N1,SCP,Asia,4.502024291
2013,pH1N1 NA protein,answer strain,H1N1,JP,Asia,3.581818182
2014,pH1N1 NA protein,answer strain,H1N1,JP,Asia,2.691983122
2015,pH1N1 NA protein,answer strain,H1N1,JP,Asia,4.405405405
2016,pH1N1 NA protein,answer strain,H1N1,JP,Asia,2.485943775
2017,pH1N1 NA protein,answer strain,H1N1,JP,Asia,3.372781065
2018,pH1N1 NA protein,answer strain,H1N1,JP,Asia,3.143678161
2019,pH1N1 NA protein,answer strain,H1N1,JP,Asia,3.77245509
2013,pH1N1 NA protein,answer strain,H1N1,SG,Asia,3
2014,pH1N1 NA protein,answer strain,H1N1,SG,Asia,3.4
2015,pH1N1 NA protein,answer strain,H1N1,SG,Asia,4.194915254
2016,pH1N1 NA protein,answer strain,H1N1,SG,Asia,1.963768116
2017,pH1N1 NA protein,answer strain,H1N1,SG,Asia,3.677419355
2018,pH1N1 NA protein,answer strain,H1N1,SG,Asia,2.146341463
2019,pH1N1 NA protein,answer strain,H1N1,SG,Asia,3.355140187
2013,pH1N1 NA epitope,current-system,H1N1,NY,North America,0.2
2014,pH1N1 NA epitope,current-system,H1N1,NY,North America,0
2015,pH1N1 NA epitope,current-system,H1N1,NY,North America,1.5
2016,pH1N1 NA epitope,current-system,H1N1,NY,North America,1.884615385
2017,pH1N1 NA epitope,current-system,H1N1,NY,North America,2
2018,pH1N1 NA epitope,current-system,H1N1,NY,North America,1.172413793
2019,pH1N1 NA epitope,current-system,H1N1,NY,North America,1.09375
2013,pH1N1 NA epitope,current-system,H1N1,CA,North America,0
2014,pH1N1 NA epitope,current-system,H1N1,CA,North America,0.083333333
2015,pH1N1 NA epitope,current-system,H1N1,CA,North America,0.7
2016,pH1N1 NA epitope,current-system,H1N1,CA,North America,1.987341772
2017,pH1N1 NA epitope,current-system,H1N1,CA,North America,2.208333333
2018,pH1N1 NA epitope,current-system,H1N1,CA,North America,1.32
2019,pH1N1 NA epitope,current-system,H1N1,CA,North America,1.503496503
2013,pH1N1 NA epitope,current-system,H1N1,CAN,North America,0.333333333
2014,pH1N1 NA epitope,current-system,H1N1,CAN,North America,0.666666667
2015,pH1N1 NA epitope,current-system,H1N1,CAN,North America,1
2016,pH1N1 NA epitope,current-system,H1N1,CAN,North America,1.896551724
2017,pH1N1 NA epitope,current-system,H1N1,CAN,North America,3
2018,pH1N1 NA epitope,current-system,H1N1,CAN,North America,1.363636364
2019,pH1N1 NA epitope,current-system,H1N1,CAN,North America,1.375
2013,pH1N1 NA epitope,current-system,H1N1,UK,Europe,0.285714286
2014,pH1N1 NA epitope,current-system,H1N1,UK,Europe,0.319148936
2015,pH1N1 NA epitope,current-system,H1N1,UK,Europe,0.818181818
2016,pH1N1 NA epitope,current-system,H1N1,UK,Europe,2.098314607
2017,pH1N1 NA epitope,current-system,H1N1,UK,Europe,3.259259259
2018,pH1N1 NA epitope,current-system,H1N1,UK,Europe,1.512345679
2019,pH1N1 NA epitope,current-system,H1N1,UK,Europe,1.41221374
2013,pH1N1 NA epitope,current-system,H1N1,GER,Europe,0.2
2014,pH1N1 NA epitope,current-system,H1N1,GER,Europe,0.571428571
2015,pH1N1 NA epitope,current-system,H1N1,GER,Europe,0.6875
2016,pH1N1 NA epitope,current-system,H1N1,GER,Europe,2.08
2017,pH1N1 NA epitope,current-system,H1N1,GER,Europe,2.111111111
2018,pH1N1 NA epitope,current-system,H1N1,GER,Europe,1.1
2019,pH1N1 NA epitope,current-system,H1N1,GER,Europe,1.387755102
2013,pH1N1 NA epitope,current-system,H1N1,FR,Europe,0
2014,pH1N1 NA epitope,current-system,H1N1,FR,Europe,0.37704918
2015,pH1N1 NA epitope,current-system,H1N1,FR,Europe,0.235294118
2016,pH1N1 NA epitope,current-system,H1N1,FR,Europe,2.055900621
2017,pH1N1 NA epitope,current-system,H1N1,FR,Europe,2.736842105
2018,pH1N1 NA epitope,current-system,H1N1,FR,Europe,1.357142857
2019,pH1N1 NA epitope,current-system,H1N1,FR,Europe,1.38172043
2013,pH1N1 NA epitope,current-system,H1N1,HK,Asia,0.25
2014,pH1N1 NA epitope,current-system,H1N1,HK,Asia,0.769230769
2015,pH1N1 NA epitope,current-system,H1N1,HK,Asia,0.818181818
2016,pH1N1 NA epitope,current-system,H1N1,HK,Asia,2.045454545
2017,pH1N1 NA epitope,current-system,H1N1,HK,Asia,2.414634146
2018,pH1N1 NA epitope,current-system,H1N1,HK,Asia,1.095890411
2019,pH1N1 NA epitope,current-system,H1N1,HK,Asia,1.613636364
2013,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,0.157894737
2014,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,0.192307692
2015,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,0.615384615
2016,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,1.867816092
2017,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,2.101010101
2018,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,0.985436893
2019,pH1N1 NA epitope,current-system,H1N1,SCP,Asia,1.356275304
2013,pH1N1 NA epitope,current-system,H1N1,JP,Asia,0.4
2014,pH1N1 NA epitope,current-system,H1N1,JP,Asia,0.143459916
2015,pH1N1 NA epitope,current-system,H1N1,JP,Asia,1.081081081
2016,pH1N1 NA epitope,current-system,H1N1,JP,Asia,2.317269076
2017,pH1N1 NA epitope,current-system,H1N1,JP,Asia,2.50295858
2018,pH1N1 NA epitope,current-system,H1N1,JP,Asia,1.057471264
2019,pH1N1 NA epitope,current-system,H1N1,JP,Asia,1.356287425
2013,pH1N1 NA epitope,current-system,H1N1,SG,Asia,0.303030303
2014,pH1N1 NA epitope,current-system,H1N1,SG,Asia,0.2
2015,pH1N1 NA epitope,current-system,H1N1,SG,Asia,1.228813559
2016,pH1N1 NA epitope,current-system,H1N1,SG,Asia,2.065217391
2017,pH1N1 NA epitope,current-system,H1N1,SG,Asia,2.870967742
2018,pH1N1 NA epitope,current-system,H1N1,SG,Asia,1.113821138
2019,pH1N1 NA epitope,current-system,H1N1,SG,Asia,1.794392523
2013,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,0.2
2014,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,0
2015,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,1.5
2016,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,0.230769231
2017,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,0
2018,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,1.172413793
2019,pH1N1 NA epitope,beth-1 final,H1N1,NY,North America,0.09375
2013,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,0
2014,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,0.083333333
2015,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,0.7
2016,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,0.037974684
2017,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,0.208333333
2018,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,1.32
2019,pH1N1 NA epitope,beth-1 final,H1N1,CA,North America,0.503496503
2013,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,0.333333333
2014,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,0.666666667
2015,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,1
2016,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,0.310344828
2017,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,1
2018,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,1.363636364
2019,pH1N1 NA epitope,beth-1 final,H1N1,CAN,North America,0.375
2013,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,0.285714286
2014,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,0.319148936
2015,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,0.818181818
2016,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,0.171348315
2017,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,1.259259259
2018,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,1.512345679
2019,pH1N1 NA epitope,beth-1 final,H1N1,UK,Europe,0.465648855
2013,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,0.2
2014,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,0.571428571
2015,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,0.6875
2016,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,0.08
2017,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,0.111111111
2018,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,1.1
2019,pH1N1 NA epitope,beth-1 final,H1N1,GER,Europe,0.428571429
2013,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,0
2014,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,0.37704918
2015,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,0.235294118
2016,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,0.099378882
2017,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,0.736842105
2018,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,1.357142857
2019,pH1N1 NA epitope,beth-1 final,H1N1,FR,Europe,0.38172043
2013,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,0.25
2014,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,0.769230769
2015,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,0.818181818
2016,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,0.045454545
2017,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,0.414634146
2018,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,1.095890411
2019,pH1N1 NA epitope,beth-1 final,H1N1,HK,Asia,0.659090909
2013,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.157894737
2014,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.192307692
2015,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.615384615
2016,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.25862069
2017,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.323232323
2018,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.985436893
2019,pH1N1 NA epitope,beth-1 final,H1N1,SCP,Asia,0.425101215
2013,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,0.4
2014,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,0.143459916
2015,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,1.081081081
2016,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,0.385542169
2017,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,0.50887574
2018,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,1.057471264
2019,pH1N1 NA epitope,beth-1 final,H1N1,JP,Asia,0.362275449
2013,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,0.303030303
2014,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,0.2
2015,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,1.228813559
2016,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,0.094202899
2017,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,0.879032258
2018,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,1.113821138
2019,pH1N1 NA epitope,beth-1 final,H1N1,SG,Asia,0.794392523
2013,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,0.2
2014,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,0
2015,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,1.5
2016,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,1.884615385
2017,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,1
2018,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,3.172413793
2019,pH1N1 NA epitope,Neher LBI,H1N1,NY,North America,0.09375
2013,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,0
2014,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,0.083333333
2015,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,0.7
2016,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,1.987341772
2017,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,1.1875
2018,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,3.32
2019,pH1N1 NA epitope,Neher LBI,H1N1,CA,North America,0.503496503
2013,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,0.333333333
2014,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,0.666666667
2015,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,1
2016,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,1.896551724
2017,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,1.714285714
2018,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,3.333333333
2019,pH1N1 NA epitope,Neher LBI,H1N1,CAN,North America,0.375
2013,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,0.285714286
2014,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,0.319148936
2015,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,0.818181818
2016,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,2.098314607
2017,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,1.814814815
2018,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,3.50617284
2019,pH1N1 NA epitope,Neher LBI,H1N1,UK,Europe,0.465648855
2013,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,0.2
2014,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,0.571428571
2015,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,0.6875
2016,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,2.08
2017,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,1.111111111
2018,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,3.1
2019,pH1N1 NA epitope,Neher LBI,H1N1,GER,Europe,0.428571429
2013,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,0
2014,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,0.37704918
2015,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,0.235294118
2016,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,2.055900621
2017,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,1.631578947
2018,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,3.337301587
2019,pH1N1 NA epitope,Neher LBI,H1N1,FR,Europe,0.38172043
2013,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,0.25
2014,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,0.769230769
2015,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,0.818181818
2016,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,2.045454545
2017,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,1.414634146
2018,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,3.095890411
2019,pH1N1 NA epitope,Neher LBI,H1N1,HK,Asia,0.659090909
2013,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,0.157894737
2014,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,0.192307692
2015,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,0.615384615
2016,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,1.867816092
2017,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,1.303030303
2018,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,2.985436893
2019,pH1N1 NA epitope,Neher LBI,H1N1,SCP,Asia,0.425101215
2013,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,0.4
2014,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,0.143459916
2015,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,1.081081081
2016,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,2.317269076
2017,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,1.50887574
2018,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,3.045977011
2019,pH1N1 NA epitope,Neher LBI,H1N1,JP,Asia,0.362275449
2013,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,0.303030303
2014,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,0.2
2015,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,1.228813559
2016,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,2.065217391
2017,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,1.870967742
2018,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,3.105691057
2019,pH1N1 NA epitope,Neher LBI,H1N1,SG,Asia,0.794392523
2013,pH1N1 NA epitope,answer strain,H1N1,NY,North America,0.2
2014,pH1N1 NA epitope,answer strain,H1N1,NY,North America,0
2015,pH1N1 NA epitope,answer strain,H1N1,NY,North America,1.5
2016,pH1N1 NA epitope,answer strain,H1N1,NY,North America,0.230769231
2017,pH1N1 NA epitope,answer strain,H1N1,NY,North America,0
2018,pH1N1 NA epitope,answer strain,H1N1,NY,North America,0.172413793
2019,pH1N1 NA epitope,answer strain,H1N1,NY,North America,0.09375
2013,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0
2014,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0.083333333
2015,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0.7
2016,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0.037974684
2017,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0.208333333
2018,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0.32
2019,pH1N1 NA epitope,answer strain,H1N1,CA,North America,0.503496503
2013,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,0.333333333
2014,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,0.666666667
2015,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,1
2016,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,0.310344828
2017,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,1
2018,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,0.363636364
2019,pH1N1 NA epitope,answer strain,H1N1,CAN,North America,0.375
2013,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,0.285714286
2014,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,0.319148936
2015,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,0.818181818
2016,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,0.171348315
2017,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,1.259259259
2018,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,0.530864198
2019,pH1N1 NA epitope,answer strain,H1N1,UK,Europe,0.465648855
2013,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.2
2014,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.571428571
2015,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.6875
2016,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.08
2017,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.111111111
2018,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.1
2019,pH1N1 NA epitope,answer strain,H1N1,GER,Europe,0.428571429
2013,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0
2014,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0.37704918
2015,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0.235294118
2016,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0.099378882
2017,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0.736842105
2018,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0.373015873
2019,pH1N1 NA epitope,answer strain,H1N1,FR,Europe,0.38172043
2013,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.25
2014,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.769230769
2015,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.818181818
2016,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.045454545
2017,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.414634146
2018,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.095890411
2019,pH1N1 NA epitope,answer strain,H1N1,HK,Asia,0.659090909
2013,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.157894737
2014,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.192307692
2015,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.615384615
2016,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.25862069
2017,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.323232323
2018,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.116504854
2019,pH1N1 NA epitope,answer strain,H1N1,SCP,Asia,0.425101215
2013,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,0.4
2014,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,0.143459916
2015,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,1.081081081
2016,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,0.385542169
2017,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,0.50887574
2018,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,0.137931034
2019,pH1N1 NA epitope,answer strain,H1N1,JP,Asia,0.362275449
2013,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,0.303030303
2014,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,0.2
2015,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,1.228813559
2016,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,0.094202899
2017,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,0.879032258
2018,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,0.113821138
2019,pH1N1 NA epitope,answer strain,H1N1,SG,Asia,0.794392523
2003,H3N2 HA protein,current-system,H3N2,NY,North America,19.05555556
2004,H3N2 HA protein,current-system,H3N2,NY,North America,24.125
2005,H3N2 HA protein,current-system,H3N2,NY,North America,10.28395062
2006,H3N2 HA protein,current-system,H3N2,NY,North America,6.641509434
2007,H3N2 HA protein,current-system,H3N2,NY,North America,9.40625
2008,H3N2 HA protein,current-system,H3N2,NY,North America,11.02439024
2009,H3N2 HA protein,current-system,H3N2,NY,North America,8.727272727
2010,H3N2 HA protein,current-system,H3N2,NY,North America,10.5
2011,H3N2 HA protein,current-system,H3N2,NY,North America,9.5
2012,H3N2 HA protein,current-system,H3N2,NY,North America,10.57894737
2013,H3N2 HA protein,current-system,H3N2,NY,North America,6.598039216
2014,H3N2 HA protein,current-system,H3N2,NY,North America,10.66666667
2015,H3N2 HA protein,current-system,H3N2,NY,North America,13.14689266
2016,H3N2 HA protein,current-system,H3N2,NY,North America,8.74137931
2017,H3N2 HA protein,current-system,H3N2,NY,North America,7.243119266
2018,H3N2 HA protein,current-system,H3N2,NY,North America,5.538461538
2019,H3N2 HA protein,current-system,H3N2,NY,North America,16.66412214
2003,H3N2 HA protein,current-system,H3N2,CA,North America,NA
2004,H3N2 HA protein,current-system,H3N2,CA,North America,24.66666667
2005,H3N2 HA protein,current-system,H3N2,CA,North America,10.75
2006,H3N2 HA protein,current-system,H3N2,CA,North America,6
2007,H3N2 HA protein,current-system,H3N2,CA,North America,9
2008,H3N2 HA protein,current-system,H3N2,CA,North America,11.9
2009,H3N2 HA protein,current-system,H3N2,CA,North America,7.01369863
2010,H3N2 HA protein,current-system,H3N2,CA,North America,12.25
2011,H3N2 HA protein,current-system,H3N2,CA,North America,9.055555556
2012,H3N2 HA protein,current-system,H3N2,CA,North America,10.66666667
2013,H3N2 HA protein,current-system,H3N2,CA,North America,6.633333333
2014,H3N2 HA protein,current-system,H3N2,CA,North America,8.78125
2015,H3N2 HA protein,current-system,H3N2,CA,North America,12.85897436
2016,H3N2 HA protein,current-system,H3N2,CA,North America,10.5511811
2017,H3N2 HA protein,current-system,H3N2,CA,North America,6.659217877
